"","APMC","Commodity","Type"
"765","Rahata","wheathusked","Multiplicative"
"766","Rahuri","wheathusked","Multiplicative"
"767","Rahuri-Vambori","wheathusked","Multiplicative"
"768","Sangamner","wheathusked","Multiplicative"
"769","Shevgaon","wheathusked","Multiplicative"
"770","Shevgaon-Bodhegaon","wheathusked","Multiplicative"
"771","Shrirampur","wheathusked","Multiplicative"
"772","Ahmednagar","wheathusked","Multiplicative"
"773","Akola","wheathusked","Multiplicative"
"774","Murtizapur","wheathusked","Multiplicative"
"775","Telhara","wheathusked","Multiplicative"
"776","Patur","wheathusked","Multiplicative"
"777","Achalpur","wheathusked","Multiplicative"
"778","Amarawati","wheathusked","Multiplicative"
"779","Anajngaon Surji","wheathusked","Multiplicative"
"780","Chandur Bajar","wheathusked","Multiplicative"
"781","Chandur Rly.","wheathusked","Multiplicative"
"782","Dhamangaon-Rly","wheathusked","Multiplicative"
"783","Morshi","wheathusked","Multiplicative"
"784","Varud-Rajura Bazar","wheathusked","Multiplicative"
"785","Aurangabad","wheathusked","Multiplicative"
"786","Gangapur","wheathusked","Multiplicative"
"787","Kannad","wheathusked","Multiplicative"
"788","Paithan","wheathusked","Multiplicative"
"789","Vaijapur","wheathusked","Multiplicative"
"790","Lasur Station","wheathusked","Multiplicative"
"791","Sillod","wheathusked","Multiplicative"
"792","Sillod-Bharadi","wheathusked","Multiplicative"
"793","Ambejogai","wheathusked","Multiplicative"
"794","Beed","wheathusked","Multiplicative"
"795","Gevrai","wheathusked","Multiplicative"
"796","Kada","wheathusked","Multiplicative"
"797","Kej","wheathusked","Multiplicative"
"798","Kille Dharur","wheathusked","Multiplicative"
"799","Majalgaon","wheathusked","Multiplicative"
"800","Parli-Vaijnath","wheathusked","Multiplicative"
"801","Bhandara","wheathusked","Multiplicative"
"802","Pavani","wheathusked","Multiplicative"
"803","Tumsar","wheathusked","Multiplicative"
"804","Buldhana","wheathusked","Multiplicative"
"805","Chikhali","wheathusked","Multiplicative"
"806","Jalgaon Jamod","wheathusked","Multiplicative"
"807","Jalgaon Jamod-Aasalgaon","wheathusked","Multiplicative"
"808","Khamgaon","wheathusked","Multiplicative"
"809","Lonar","wheathusked","Multiplicative"
"810","Malkapur","wheathusked","Multiplicative"
"811","Mehkar","wheathusked","Multiplicative"
"812","Nandura","wheathusked","Multiplicative"
"813","Sangrampur","wheathusked","Multiplicative"
"814","Shegaon","wheathusked","Multiplicative"
"815","Dhule","wheathusked","Multiplicative"
"816","Dondaicha","wheathusked","Multiplicative"
"817","Sakri","wheathusked","Multiplicative"
"818","Shirpur","wheathusked","Multiplicative"
"819","Akhadabalapur","wheathusked","Multiplicative"
"820","Basmat","wheathusked","Multiplicative"
"821","Hingoli","wheathusked","Multiplicative"
"822","Jawala-Bajar","wheathusked","Multiplicative"
"823","Kalamnuri","wheathusked","Multiplicative"
"824","Bhusaval","wheathusked","Multiplicative"
"825","Chalisgaon","wheathusked","Multiplicative"
"826","Chopda","wheathusked","Multiplicative"
"827","Jalgaon","wheathusked","Multiplicative"
"828","Raver","wheathusked","Multiplicative"
"829","Amalner","wheathusked","Multiplicative"
"830","Ambad(Vadi Godri)","wheathusked","Multiplicative"
"831","Bhokardan","wheathusked","Multiplicative"
"832","Bhokardan-Pimpalgaon Renu","wheathusked","Multiplicative"
"833","Jafrabad","wheathusked","Multiplicative"
"834","Jalna","wheathusked","Multiplicative"
"835","Mantha","wheathusked","Multiplicative"
"836","Partur","wheathusked","Multiplicative"
"837","Ghansawangi","wheathusked","Multiplicative"
"838","Jalna-Badnapur","wheathusked","Multiplicative"
"839","Ausa","wheathusked","Multiplicative"
"840","Ahmedpur","wheathusked","Multiplicative"
"841","Nilanga","wheathusked","Multiplicative"
"842","Jalkot","wheathusked","Multiplicative"
"843","Udgir","wheathusked","Multiplicative"
"844","Katol","wheathusked","Multiplicative"
"845","Mandhal","wheathusked","Multiplicative"
"846","Ramtek","wheathusked","Multiplicative"
"847","Savner","wheathusked","Multiplicative"
"848","Umared","wheathusked","Multiplicative"
"849","Bhiwapur","wheathusked","Multiplicative"
"850","Nagpur","wheathusked","Multiplicative"
"851","Kalmeshwar","wheathusked","Multiplicative"
"852","Bhokar","wheathusked","Multiplicative"
"853","Loha","wheathusked","Multiplicative"
"854","Nanded","wheathusked","Multiplicative"
"855","Naigaon","wheathusked","Multiplicative"
"856","Dharmabad","wheathusked","Multiplicative"
"857","Hadgaon","wheathusked","Multiplicative"
"858","Nandurbar","wheathusked","Multiplicative"
"859","Shahada","wheathusked","Multiplicative"
"860","Taloda","wheathusked","Multiplicative"
"861","Devala","wheathusked","Multiplicative"
"862","Kalvan","wheathusked","Multiplicative"
"863","Lasalgaon","wheathusked","Multiplicative"
"864","Malegaon","wheathusked","Multiplicative"
"865","Manmad","wheathusked","Multiplicative"
"866","Nandgaon","wheathusked","Multiplicative"
"867","Satana","wheathusked","Multiplicative"
"868","Sinner","wheathusked","Multiplicative"
"869","Yeola","wheathusked","Multiplicative"
"870","Kalamb (Os)","wheathusked","Multiplicative"
"871","Murum","wheathusked","Multiplicative"
"872","Osmanabad","wheathusked","Multiplicative"
"873","Umarga","wheathusked","Multiplicative"
"874","Tuljapur","wheathusked","Multiplicative"
"875","Jintur","wheathusked","Multiplicative"
"876","Jintur-Bori","wheathusked","Multiplicative"
"877","Parbhani","wheathusked","Multiplicative"
"878","Purna","wheathusked","Multiplicative"
"879","Sailu","wheathusked","Multiplicative"
"880","Sonpeth","wheathusked","Multiplicative"
"881","Gangakhed","wheathusked","Multiplicative"
"882","Tadkalas","wheathusked","Multiplicative"
"883","Pathari","wheathusked","Multiplicative"
"884","Baramati","wheathusked","Multiplicative"
"885","Dound","wheathusked","Multiplicative"
"886","Indapur-Bhigwan","wheathusked","Multiplicative"
"887","Shirur","wheathusked","Multiplicative"
"888","Lonand","wheathusked","Multiplicative"
"889","Phaltan","wheathusked","Multiplicative"
"890","Koregaon","wheathusked","Multiplicative"
"891","Akluj","wheathusked","Multiplicative"
"892","Barshi","wheathusked","Multiplicative"
"893","Dudhani","wheathusked","Multiplicative"
"894","Kurdwadi","wheathusked","Multiplicative"
"895","Mangalwedha","wheathusked","Multiplicative"
"896","Mohol","wheathusked","Multiplicative"
"897","Pandharpur","wheathusked","Multiplicative"
"898","Akkolkot","wheathusked","Multiplicative"
"899","Bhivandi","wheathusked","Multiplicative"
"900","Wardha","wheathusked","Multiplicative"
"901","Karanja","wheathusked","Multiplicative"
"902","Mangrulpeer","wheathusked","Multiplicative"
"903","Manora","wheathusked","Multiplicative"
"904","Washim","wheathusked","Multiplicative"
"905","Ner Parasopant","wheathusked","Multiplicative"
"906","Pusad","wheathusked","Multiplicative"
"907","Umarkhed","wheathusked","Multiplicative"
"908","Umarkhed-Danki","wheathusked","Multiplicative"
"909","Yeotmal","wheathusked","Multiplicative"
"910","Aarni","wheathusked","Multiplicative"
"911","Vani","wheathusked","Multiplicative"
"912","Murum","wheatunhusked","Multiplicative"
"913","Umarga","wheatunhusked","Multiplicative"
"914","Tuljapur","wheatunhusked","Multiplicative"
"915","Indapur-Bhigwan","wheatunhusked","Multiplicative"
"916","Sangali","wheatunhusked","Multiplicative"
"917","Barshi","wheatunhusked","Multiplicative"
"918","Kurdwadi","wheatunhusked","Multiplicative"
"919","Mangalwedha","wheatunhusked","Multiplicative"
"920","Solapur","wheatunhusked","Multiplicative"
"921","Akkolkot","wheatunhusked","Multiplicative"
"922","Mohol","wheatunhusked","Multiplicative"
"923","Shrigonda","bajri","Multiplicative"
"924","Shrirampur-Belapur","bajri","Multiplicative"
"925","Akola","bajri","Multiplicative"
"926","Balapur","bajri","Multiplicative"
"927","Amarawati","bajri","Multiplicative"
"928","Sindkhed Raja","bajri","Multiplicative"
"929","Lonar","bajri","Multiplicative"
"930","Dondaicha-Sindkheda","bajri","Multiplicative"
"931","Pachora","bajri","Multiplicative"
"932","Parola","bajri","Multiplicative"
"933","Yawal","bajri","Multiplicative"
"934","Ashti (Jalna)","bajri","Multiplicative"
"935","Bhokardan","bajri","Multiplicative"
"936","Bhokardan-Pimpalgaon Renu","bajri","Multiplicative"
"937","Mukhed","bajri","Multiplicative"
"938","Lasalgaon-Vinchur","bajri","Multiplicative"
"939","Lohara","bajri","Multiplicative"
"940","Pathari","bajri","Multiplicative"
"941","Manwat","bajri","Multiplicative"
"942","Nira","bajri","Multiplicative"
"943","Indapur (Nimgaon Ketki)","bajri","Multiplicative"
"944","Nira-Saswad","bajri","Multiplicative"
"945","Pune","bajri","Multiplicative"
"946","Kurdwadi-Modnimb","bajri","Multiplicative"
"947","Barshi-Vairag","bajri","Multiplicative"
"948","Kalyan","bajri","Multiplicative"
"949","Washim","bajri","Multiplicative"
"950","Digras","bajri","Multiplicative"
"951","Sangamner","cotton","Multiplicative"
"952","Akot","cotton","Multiplicative"
"953","Barshi Takli","cotton","Multiplicative"
"954","Amarawati","cotton","Multiplicative"
"955","Dharni","cotton","Multiplicative"
"956","Tiwasa","cotton","Multiplicative"
"957","Soygaon","cotton","Multiplicative"
"958","Khultabad","cotton","Multiplicative"
"959","Fulambri","cotton","Multiplicative"
"960","Pombhurni","cotton","Multiplicative"
"961","Shirpur","cotton","Multiplicative"
"962","Hingoli","cotton","Multiplicative"
"963","Narkhed","cotton","Multiplicative"
"964","Mandhal","cotton","Multiplicative"
"965","Hadgaon-Tamsa","cotton","Multiplicative"
"966","Himayatnagar","cotton","Multiplicative"
"967","Manwat","cotton","Multiplicative"
"968","Atpadi","cotton","Multiplicative"
"969","Ashti (Wardha)","cotton","Multiplicative"
"970","Hinganghat","cotton","Multiplicative"
"971","Babhulgaon","cotton","Multiplicative"
"972","Pune-Pimpri","grnut kernels","Multiplicative"
"973","Kurdwadi","grnut kernels","Multiplicative"
"974","Kalyan","grnut kernels","Multiplicative"
"975","Ulhasnagar","grnut kernels","Multiplicative"
"976","Shrirampur-Belapur","maize","Multiplicative"
"977","Shrigonda","maize","Multiplicative"
"978","Akot","maize","Multiplicative"
"979","Akola","maize","Multiplicative"
"980","Balapur","maize","Multiplicative"
"981","Dharni","maize","Multiplicative"
"982","Varud","maize","Multiplicative"
"983","Soygaon","maize","Multiplicative"
"984","Paithan","maize","Multiplicative"
"985","Buldhana","maize","Multiplicative"
"986","Buldhana-Dhad","maize","Multiplicative"
"987","Sangrampur-Varvatbakal","maize","Multiplicative"
"988","Sindkhed Raja","maize","Multiplicative"
"989","Dondaicha-Sindkheda","maize","Multiplicative"
"990","Jamner","maize","Multiplicative"
"991","Jamner-Neri","maize","Multiplicative"
"992","Pachora","maize","Multiplicative"
"993","Parola","maize","Multiplicative"
"994","Ashti (Jalna)","maize","Multiplicative"
"995","Latur-Murud","maize","Multiplicative"
"996","Katol","maize","Multiplicative"
"997","Nagpur","maize","Multiplicative"
"998","Bhokar","maize","Multiplicative"
"999","Loha","maize","Multiplicative"
"1000","Kinwat","maize","Multiplicative"
"1001","Nanded","maize","Multiplicative"
"1002","Dhadgaon","maize","Multiplicative"
"1003","Akkalkuwa","maize","Multiplicative"
"1004","Lasalgaon-Vinchur","maize","Multiplicative"
"1005","Chandvad","maize","Multiplicative"
"1006","Umrane","maize","Multiplicative"
"1007","Lasalgaon-Niphad","maize","Multiplicative"
"1008","Paranda","maize","Multiplicative"
"1009","Lohara","maize","Multiplicative"
"1010","Osmanabad","maize","Multiplicative"
"1011","Washi(Osmanabad)","maize","Multiplicative"
"1012","Sonpeth","maize","Multiplicative"
"1013","Nira","maize","Multiplicative"
"1014","Indapur (Nimgaon Ketki)","maize","Multiplicative"
"1015","Nira-Saswad","maize","Multiplicative"
"1016","Atpadi","maize","Multiplicative"
"1017","Sangli-Miraj","maize","Multiplicative"
"1018","Kurdwadi-Modnimb","maize","Multiplicative"
"1019","Ahmednagar","mustard","Multiplicative"
"1020","Shrirampur","mustard","Multiplicative"
"1021","Akola","mustard","Multiplicative"
"1022","Varud-Rajura Bazar","mustard","Multiplicative"
"1023","Achalpur","mustard","Multiplicative"
"1024","Lasur Station","mustard","Multiplicative"
"1025","Sillod","mustard","Multiplicative"
"1026","Gevrai","mustard","Multiplicative"
"1027","Khamgaon","mustard","Multiplicative"
"1028","Chikhali","mustard","Multiplicative"
"1029","Kalamnuri","mustard","Multiplicative"
"1030","Ahmedpur","mustard","Multiplicative"
"1031","Ramtek","mustard","Multiplicative"
"1032","Sinner","mustard","Multiplicative"
"1033","Kalamb (Os)","mustard","Multiplicative"
"1034","Umarga","mustard","Multiplicative"
"1035","Purna","mustard","Multiplicative"
"1036","Indapur-Bhigwan","mustard","Multiplicative"
"1037","Kurdwadi","mustard","Multiplicative"
"1038","Kej","nigerseed","Multiplicative"
"1039","Kille Dharur","nigerseed","Multiplicative"
"1040","Kalamb (Os)","nigerseed","Multiplicative"
"1041","Pombhurni","paddyunhusked","Multiplicative"
"1042","Parshiwani","paddyunhusked","Multiplicative"
"1043","Alibag","paddyunhusked","Multiplicative"
"1044","Mahad","paddyunhusked","Multiplicative"
"1045","Murud","paddyunhusked","Multiplicative"
"1046","Akkolkot","paddyunhusked","Multiplicative"
"1047","Kopargaon","pigeon pea tur","Multiplicative"
"1048","Newasa","pigeon pea tur","Multiplicative"
"1049","Sangamner","pigeon pea tur","Multiplicative"
"1050","Shrigonda","pigeon pea tur","Multiplicative"
"1051","Rahuri","pigeon pea tur","Multiplicative"
"1052","Akot","pigeon pea tur","Multiplicative"
"1053","Balapur","pigeon pea tur","Multiplicative"
"1054","Nandgaon Khandeshwar","pigeon pea tur","Multiplicative"
"1055","Kannad","pigeon pea tur","Multiplicative"
"1056","Paithan","pigeon pea tur","Multiplicative"
"1057","Sillod","pigeon pea tur","Multiplicative"
"1058","Kada (Ashti)","pigeon pea tur","Multiplicative"
"1059","Lakhandur","pigeon pea tur","Multiplicative"
"1060","Buldhana","pigeon pea tur","Multiplicative"
"1061","Sangrampur-Varvatbakal","pigeon pea tur","Multiplicative"
"1062","Deulgaon Raja","pigeon pea tur","Multiplicative"
"1063","Rajura","pigeon pea tur","Multiplicative"
"1064","Varora","pigeon pea tur","Multiplicative"
"1065","Chimur","pigeon pea tur","Multiplicative"
"1066","Korpana","pigeon pea tur","Multiplicative"
"1067","Dondaicha-Sindkheda","pigeon pea tur","Multiplicative"
"1068","Kalamnuri","pigeon pea tur","Multiplicative"
"1069","Basmat","pigeon pea tur","Multiplicative"
"1070","Sengaon","pigeon pea tur","Multiplicative"
"1071","Bhusaval","pigeon pea tur","Multiplicative"
"1072","Chopda","pigeon pea tur","Multiplicative"
"1073","Pachora","pigeon pea tur","Multiplicative"
"1074","Parola","pigeon pea tur","Multiplicative"
"1075","Bhokardan","pigeon pea tur","Multiplicative"
"1076","Ghansawangi","pigeon pea tur","Multiplicative"
"1077","Ashti (Jalna)","pigeon pea tur","Multiplicative"
"1078","Jafrabad","pigeon pea tur","Multiplicative"
"1079","Bhokardan-Pimpalgaon Renu","pigeon pea tur","Multiplicative"
"1080","Aurad Shahajani","pigeon pea tur","Multiplicative"
"1081","Devani","pigeon pea tur","Multiplicative"
"1082","Latur-Murud","pigeon pea tur","Multiplicative"
"1083","Chakur","pigeon pea tur","Multiplicative"
"1084","Bhiwapur","pigeon pea tur","Multiplicative"
"1085","Hingna","pigeon pea tur","Multiplicative"
"1086","Mandhal","pigeon pea tur","Multiplicative"
"1087","Parshiwani","pigeon pea tur","Multiplicative"
"1088","Kinwat","pigeon pea tur","Multiplicative"
"1089","Deglur","pigeon pea tur","Multiplicative"
"1090","Hadgaon-Tamsa","pigeon pea tur","Multiplicative"
"1091","Himayatnagar","pigeon pea tur","Multiplicative"
"1092","Kundalwadi","pigeon pea tur","Multiplicative"
"1093","Mudkhed","pigeon pea tur","Multiplicative"
"1094","Mukhed","pigeon pea tur","Multiplicative"
"1095","Umari","pigeon pea tur","Multiplicative"
"1096","Navapur","pigeon pea tur","Multiplicative"
"1097","Manmad","pigeon pea tur","Multiplicative"
"1098","Lohara","pigeon pea tur","Multiplicative"
"1099","Paranda","pigeon pea tur","Multiplicative"
"1100","Palam","pigeon pea tur","Multiplicative"
"1101","Pathari","pigeon pea tur","Multiplicative"
"1102","Manwat","pigeon pea tur","Multiplicative"
"1103","Indapur","pigeon pea tur","Multiplicative"
"1104","Baramati","pigeon pea tur","Multiplicative"
"1105","Dound","pigeon pea tur","Multiplicative"
"1106","Nira-Saswad","pigeon pea tur","Multiplicative"
"1107","Sangali","pigeon pea tur","Multiplicative"
"1108","Kurdwadi-Modnimb","pigeon pea tur","Multiplicative"
"1109","Karmala","pigeon pea tur","Multiplicative"
"1110","Akluj","pigeon pea tur","Multiplicative"
"1111","Pandharpur","pigeon pea tur","Multiplicative"
"1112","Arvi","pigeon pea tur","Multiplicative"
"1113","Samudrapur","pigeon pea tur","Multiplicative"
"1114","Sindi","pigeon pea tur","Multiplicative"
"1115","Ashti-Karanja","pigeon pea tur","Multiplicative"
"1116","Sindi (Selu)","pigeon pea tur","Multiplicative"
"1117","Malegaon (Washim)","pigeon pea tur","Multiplicative"
"1118","Bori Arab","pigeon pea tur","Multiplicative"
"1119","Darwha","pigeon pea tur","Multiplicative"
"1120","Ghatanji","pigeon pea tur","Multiplicative"
"1121","Kalamb (Yawatmal)","pigeon pea tur","Multiplicative"
"1122","Umarkhed-Danki","pigeon pea tur","Multiplicative"
"1123","Zarijamini","pigeon pea tur","Multiplicative"
"1124","Ralegaon","pigeon pea tur","Multiplicative"
"1125","Lakhandur","ricepaddyhus","Multiplicative"
"1126","Chalisgaon","ricepaddyhus","Multiplicative"
"1127","Pachora","ricepaddyhus","Multiplicative"
"1128","Mumbai","ricepaddyhus","Multiplicative"
"1129","Bhokar","ricepaddyhus","Multiplicative"
"1130","Navapur","ricepaddyhus","Multiplicative"
"1131","Indapur","ricepaddyhus","Multiplicative"
"1132","Nira","ricepaddyhus","Multiplicative"
"1133","Bhor","ricepaddyhus","Multiplicative"
"1134","Nira-Saswad","ricepaddyhus","Multiplicative"
"1135","Pune-Pimpri","ricepaddyhus","Multiplicative"
"1136","Murud","ricepaddyhus","Multiplicative"
"1137","Kalyan","ricepaddyhus","Multiplicative"
"1138","Ulhasnagar","ricepaddyhus","Multiplicative"
"1139","Pusad","ricepaddyhus","Multiplicative"
"1140","Shrirampur","safflower","Multiplicative"
"1141","Akola","safflower","Multiplicative"
"1142","Murtizapur","safflower","Multiplicative"
"1143","Daryapur","safflower","Multiplicative"
"1144","Lasur Station","safflower","Multiplicative"
"1145","Sillod","safflower","Multiplicative"
"1146","Gevrai","safflower","Multiplicative"
"1147","Majalgaon","safflower","Multiplicative"
"1148","Kej","safflower","Multiplicative"
"1149","Kada","safflower","Multiplicative"
"1150","Khamgaon","safflower","Multiplicative"
"1151","Shegaon","safflower","Multiplicative"
"1152","Devani","safflower","Multiplicative"
"1153","Latur-Murud","safflower","Multiplicative"
"1154","Nilanga","safflower","Multiplicative"
"1155","Udgir","safflower","Multiplicative"
"1156","Nandurbar","safflower","Multiplicative"
"1157","Lohara","safflower","Multiplicative"
"1158","Tuljapur","safflower","Multiplicative"
"1159","Purna","safflower","Multiplicative"
"1160","Sailu","safflower","Multiplicative"
"1161","Baramati","safflower","Multiplicative"
"1162","Shirur","safflower","Multiplicative"
"1163","Barshi","safflower","Multiplicative"
"1164","Balapur","sesamum","Multiplicative"
"1165","Akola","sesamum","Multiplicative"
"1166","Akot","sesamum","Multiplicative"
"1167","Amarawati","sesamum","Multiplicative"
"1168","Daryapur","sesamum","Multiplicative"
"1169","Vaijapur","sesamum","Multiplicative"
"1170","Kada","sesamum","Multiplicative"
"1171","Dondaicha-Sindkheda","sesamum","Multiplicative"
"1172","Sakri","sesamum","Multiplicative"
"1173","Dondaicha","sesamum","Multiplicative"
"1174","Basmat","sesamum","Multiplicative"
"1175","Hingoli","sesamum","Multiplicative"
"1176","Pachora","sesamum","Multiplicative"
"1177","Mantha","sesamum","Multiplicative"
"1178","Ashti (Jalna)","sesamum","Multiplicative"
"1179","Jalkot","sesamum","Multiplicative"
"1180","Udgir","sesamum","Multiplicative"
"1181","Naigaon","sesamum","Multiplicative"
"1182","Nandurbar","sesamum","Multiplicative"
"1183","Jintur","sesamum","Multiplicative"
"1184","Jintur-Bori","sesamum","Multiplicative"
"1185","Indapur","sesamum","Multiplicative"
"1186","Kalyan","sesamum","Multiplicative"
"1187","Hinganghat","sesamum","Multiplicative"
"1188","Risod","sesamum","Multiplicative"
"1189","Digras","sesamum","Multiplicative"
"1190","Yeotmal","sesamum","Multiplicative"
"1191","Shrigonda","sorgumjawar","Multiplicative"
"1192","Shrirampur-Belapur","sorgumjawar","Multiplicative"
"1193","Akot","sorgumjawar","Multiplicative"
"1194","Balapur","sorgumjawar","Multiplicative"
"1195","Dharni","sorgumjawar","Multiplicative"
"1196","Sangrampur-Varvatbakal","sorgumjawar","Multiplicative"
"1197","Sindkhed Raja","sorgumjawar","Multiplicative"
"1198","Dondaicha-Sindkheda","sorgumjawar","Multiplicative"
"1199","Jawala-Bajar","sorgumjawar","Multiplicative"
"1200","Kalamnuri","sorgumjawar","Multiplicative"
"1201","Sengaon","sorgumjawar","Multiplicative"
"1202","Jamner","sorgumjawar","Multiplicative"
"1203","Pachora","sorgumjawar","Multiplicative"
"1204","Parola","sorgumjawar","Multiplicative"
"1205","Ashti (Jalna)","sorgumjawar","Multiplicative"
"1206","Latur-Murud","sorgumjawar","Multiplicative"
"1207","Aurad Shahajani","sorgumjawar","Multiplicative"
"1208","Devani","sorgumjawar","Multiplicative"
"1209","Jalkot","sorgumjawar","Multiplicative"
"1210","Kalmeshwar","sorgumjawar","Multiplicative"
"1211","Himayatnagar","sorgumjawar","Multiplicative"
"1212","Kundalwadi","sorgumjawar","Multiplicative"
"1213","Mudkhed","sorgumjawar","Multiplicative"
"1214","Mukhed","sorgumjawar","Multiplicative"
"1215","Umari","sorgumjawar","Multiplicative"
"1216","Kinwat","sorgumjawar","Multiplicative"
"1217","Akkalkuwa","sorgumjawar","Multiplicative"
"1218","Dhadgaon","sorgumjawar","Multiplicative"
"1219","Lasalgaon-Vinchur","sorgumjawar","Multiplicative"
"1220","Paranda","sorgumjawar","Multiplicative"
"1221","Lohara","sorgumjawar","Multiplicative"
"1222","Washi(Osmanabad)","sorgumjawar","Multiplicative"
"1223","Palam","sorgumjawar","Multiplicative"
"1224","Manwat","sorgumjawar","Multiplicative"
"1225","Nira","sorgumjawar","Multiplicative"
"1226","Indapur (Nimgaon Ketki)","sorgumjawar","Multiplicative"
"1227","Nira-Saswad","sorgumjawar","Multiplicative"
"1228","Kurdwadi-Modnimb","sorgumjawar","Multiplicative"
"1229","Kalyan","sorgumjawar","Multiplicative"
"1230","Hinganghat","sorgumjawar","Multiplicative"
"1231","Aarni","sorgumjawar","Multiplicative"
"1232","Umarkhed","sorgumjawar","Multiplicative"
"1233","Pandharkawada","sorgumjawar","Multiplicative"
"1234","Umarkhed-Danki","sorgumjawar","Multiplicative"
"1235","Mahagaon","sorgumjawar","Multiplicative"
"1236","Ghatanji","sorgumjawar","Multiplicative"
"1237","Zarijamini","sorgumjawar","Multiplicative"
"1238","Pusad","split black gram","Multiplicative"
"1239","Ulhasnagar","sugarcane","Multiplicative"
"1240","Shrirampur","sunflower","Multiplicative"
"1241","Akola","sunflower","Multiplicative"
"1242","Akot","sunflower","Multiplicative"
"1243","Telhara","sunflower","Multiplicative"
"1244","Amarawati","sunflower","Multiplicative"
"1245","Vaijapur","sunflower","Multiplicative"
"1246","Sillod-Bharadi","sunflower","Multiplicative"
"1247","Nandura","sunflower","Multiplicative"
"1248","Jalgaon Jamod","sunflower","Multiplicative"
"1249","Jalgaon Jamod-Aasalgaon","sunflower","Multiplicative"
"1250","Sakri","sunflower","Multiplicative"
"1251","Shirpur","sunflower","Multiplicative"
"1252","Basmat","sunflower","Multiplicative"
"1253","Pachora","sunflower","Multiplicative"
"1254","Latur-Murud","sunflower","Multiplicative"
"1255","Nilanga","sunflower","Multiplicative"
"1256","Jalkot","sunflower","Multiplicative"
"1257","Umared","sunflower","Multiplicative"
"1258","Bhokar","sunflower","Multiplicative"
"1259","Mukhed","sunflower","Multiplicative"
"1260","Shahada","sunflower","Multiplicative"
"1261","Sinner","sunflower","Multiplicative"
"1262","Malegaon","sunflower","Multiplicative"
"1263","Devala","sunflower","Multiplicative"
"1264","Murum","sunflower","Multiplicative"
"1265","Lohara","sunflower","Multiplicative"
"1266","Washi(Osmanabad)","sunflower","Multiplicative"
"1267","Tuljapur","sunflower","Multiplicative"
"1268","Kurdwadi","sunflower","Multiplicative"
"1269","Solapur","sunflower","Multiplicative"
"1270","Jamkhed","wheathusked","Multiplicative"
"1271","Shrirampur-Belapur","wheathusked","Multiplicative"
"1272","Shrigonda","wheathusked","Multiplicative"
"1273","Akot","wheathusked","Multiplicative"
"1274","Balapur","wheathusked","Multiplicative"
"1275","Nandgaon Khandeshwar","wheathusked","Multiplicative"
"1276","Dharni","wheathusked","Multiplicative"
"1277","Daryapur","wheathusked","Multiplicative"
"1278","Fulambri","wheathusked","Multiplicative"
"1279","Kada (Ashti)","wheathusked","Multiplicative"
"1280","Lakhandur","wheathusked","Multiplicative"
"1281","Sangrampur-Varvatbakal","wheathusked","Multiplicative"
"1282","Sindkhed Raja","wheathusked","Multiplicative"
"1283","Nagbhid","wheathusked","Multiplicative"
"1284","Varora","wheathusked","Multiplicative"
"1285","Dondaicha-Sindkheda","wheathusked","Multiplicative"
"1286","Sengaon","wheathusked","Multiplicative"
"1287","Pachora","wheathusked","Multiplicative"
"1288","Parola","wheathusked","Multiplicative"
"1289","Yawal","wheathusked","Multiplicative"
"1290","Ashti (Jalna)","wheathusked","Multiplicative"
"1291","Latur-Murud","wheathusked","Multiplicative"
"1292","Aurad Shahajani","wheathusked","Multiplicative"
"1293","Latur","wheathusked","Multiplicative"
"1294","Himayatnagar","wheathusked","Multiplicative"
"1295","Kinwat","wheathusked","Multiplicative"
"1296","Mudkhed","wheathusked","Multiplicative"
"1297","Akkalkuwa","wheathusked","Multiplicative"
"1298","Navapur","wheathusked","Multiplicative"
"1299","Lasalgaon-Vinchur","wheathusked","Multiplicative"
"1300","Lasalgaon-Niphad","wheathusked","Multiplicative"
"1301","Lohara","wheathusked","Multiplicative"
"1302","Paranda","wheathusked","Multiplicative"
"1303","Palam","wheathusked","Multiplicative"
"1304","Manwat","wheathusked","Multiplicative"
"1305","Indapur","wheathusked","Multiplicative"
"1306","Nira","wheathusked","Multiplicative"
"1307","Indapur (Nimgaon Ketki)","wheathusked","Multiplicative"
"1308","Nira-Saswad","wheathusked","Multiplicative"
"1309","Vaduj","wheathusked","Multiplicative"
"1310","Barshi-Vairag","wheathusked","Multiplicative"
"1311","Kurdwadi-Modnimb","wheathusked","Multiplicative"
"1312","Palghar(Bevur)","wheathusked","Multiplicative"
"1313","Vasai","wheathusked","Multiplicative"
"1314","Kalyan","wheathusked","Multiplicative"
"1315","Arvi","wheathusked","Multiplicative"
"1316","Pulgaon","wheathusked","Multiplicative"
"1317","Sindi","wheathusked","Multiplicative"
"1318","Sindi (Selu)","wheathusked","Multiplicative"
"1319","Ashti-Karanja","wheathusked","Multiplicative"
"1320","Hinganghat","wheathusked","Multiplicative"
"1321","Malegaon (Washim)","wheathusked","Multiplicative"
"1322","Risod","wheathusked","Multiplicative"
"1323","Digras","wheathusked","Multiplicative"
"1324","Mahagaon","wheathusked","Multiplicative"
"1325","Zarijamini","wheathusked","Multiplicative"
"1326","Pandharkawada","wheathusked","Multiplicative"
"1327","Indapur","wheatunhusked","Multiplicative"
"1328","Sangli-Miraj","wheatunhusked","Multiplicative"
"1329","Akluj","wheatunhusked","Multiplicative"
"1330","Rahuri-Songaon","bajri","Multiplicative"
